IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
----------------+----------------------------------------------+--------+-------+----------+-----------------------+---------+----------------
204.16.244.150  | 9mZnd8YWDodSGVmcm8QWghCjT18TFEvaqsTPEauXA7MG | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
103.167.235.121 | H68e2XUdXK3j8ibFv61VymvHn6AEhHPHLZSmbbQnZp1M | 8000   | 11222 | 11228    | 103.167.235.121:8899  | 2.1.14  | 3271415109
134.119.190.169 | caraQ1NEwdXDjP8RE28XhiPmzCGNqF5zLNqvjoeDNQ3  | 8000   | 11222 | 11228    | none                  | 2.1.14  | 3271415109
67.209.52.23    | 76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ | 8001   | 11222 | 11228    | none                  | 2.1.14  | 3271415109
80.77.175.83    | CZLU7uNs1SNvmV1vodR29hwJFjQ2eVUXsQJwGt2SKVKk | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
45.129.84.95    | FSyAsxcE7g8pSSEu5nx7Hkz44rMZiYio5Wz8Lszh3Nbi | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
45.152.160.7    | FPwKd8WmeugZLZySCcr5RmqdVnQvJ5zRQRCy6tnkdLQF | 8000   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
62.197.45.220   | CyUEJ2KvRCDZqPM5PZ7RVznyjsto8zKc5or6CJZJDPda | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
45.32.238.68    | vsxLGNkoEXnqhW9iUJFSKmwy1fpuKBVDSebDuMVqUMq  | 8001   | 8902  | 8908     | none                  | 2.1.11  | 1725507508
178.237.58.135  | ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY | 9000   | 9003  | 9009     | none                  | 2.1.14  | 3271415109
5.199.172.175   | BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq | 12000  | 12003 | 12009    | none                  | 2.1.14  | 3271415109
50.115.45.178   | Fx67BgATzUCXtHKX9qDaGGKrANLWhLixjMuRT4dT3JKh | 8001   | 8004  | 8010     | none                  | 2.1.11  | 1725507508
5.39.221.250    | 2zAbHUpE4MRgEwq1MWh3i9aJyzazSjUUPrmhNViqQn5W | 8001   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
103.167.235.112 | FaHhtym1F1ZersAivvZZTEJrmzrdTwTe3pzHX2LmUUFd | 8000   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
62.197.45.42    | 4BevYSucyVnLL6z1ybHh8KH5FnAhJCbX5gYhn5Dfz1FE | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
35.224.152.111  | 2npYpAQcNWcZo85eB43DnSMyeeVCiks7g65YaWVKp8TX | 8001   | 8003  | 8009     | none                  | 2.1.9   | 3039680930
185.84.247.217  | 2XQgZciomz7MoPNUz5YsrPkPsGg43JHaY5EDgQi1S68E | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
165.140.87.149  | AhyLPwqeE8zg7fyFjuufH8k7Kq4kNS2eARRq5EKNGRcT | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
185.19.216.43   | 6LCpzSkg3Ud1SpCnsYtmByWiiW6tcjSPNmJQmFGQcwaL | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
72.251.3.220    | PPdwxwyhXWBa3W8uxGDJx7xpfsgj76Ef1fXbjYnANTm  | 8001   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
185.26.11.233   | 3UvHZSXR9TkRgtKfaeRH17GaiWtCzujVmXK3K1eYZRyg | 8000   | 11222 | 11228    | 185.26.11.233:8899    | 2.1.14  | 3271415109
145.40.126.181  | 3qmEGZpEUFYxXiLU5CZjSaUy2X28oV51qVLenKEutYDe | 8000   | 8003  | 8009     | none                  | 2.0.18  | 607245837
185.8.104.7     | BbUTmY3saxeJJze2Vc1ueqEpV8Btj24wKpFbZ1r4XzXr | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
5.199.170.4     | 2nHwBDwqtQNTbCUwhttsBUHnQw5QJwuDNGvynNtHaEx4 | 8000   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
173.231.48.122  | DziZfhYj5RcXFvanmsfmtRqwRteSNDnTgLNEawdZww9J | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
45.152.160.108  | 6pEtDovpyd1zUMYPuNhMCPU37sUTEAtzzgoVVAh1G1JL | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
135.125.119.150 | 3hXhY28qCTKSQpamv4RoukhRkAQRszRjV1DY2Lebebrf | 8001   | 11222 | 11228    | none                  | 2.1.11  | 1725507508
64.130.57.86    | wiFDeRHa4zcPvrZzdrnBEYCWAjMTjnV2vBgQeCpWSa9  | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
